courseType,courseName,subject,academyName,city,startDate,endDate,eduCost,regDeadline,courseLanguages,levelGerman,levelEnglish,courseBeginning,typeCourseDate,costPosition,tuitionFees,isElearning,preparationForDegree,prepForSubjectGroups,applicationDeadline,onlinePossible,badgeLabel,financialSupport,structuredResearch,supportInternationalStudents,typeOfElearning,courseLink
56,13th Current Literature – Here's What Germany Reads,"German Language and Literature (German, Germanic Languages except English)",Martin Luther University Halle-Wittenberg,Lutherstadt Wittenberg,"['2024-06-02', '2024-06-30', '2024-08-04']","['2024-06-27', '2024-07-25', '2024-08-29']","[720, 720, 720]","['2024-04-19', '2024-05-17', '2024-06-21']",['German'],"['B2', 'C1', 'C2']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/5402/
56,26th International Summer Academy Sans Souci 2024 | ISAS,"German Language and Literature (German, Germanic Languages except English)",University of Potsdam,Potsdam,['2024-08-07'],['2024-08-30'],[750],['2024-06-14'],['German'],"['B2', 'C1', 'C2']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/4993/
5,28th International Summer Academy,German Language Course (including Literature and Culture Studies),Martin Luther University Halle-Wittenberg,Lutherstadt Wittenberg,"['2024-06-02', '2024-06-30', '2024-08-04', '2024-09-01']","['2024-06-27', '2024-07-25', '2024-08-29', '2024-09-26']","[720, 720, 720, 720]","['2024-04-19', '2024-05-17', '2024-06-21', '2024-07-26']",['German'],"['A2', 'B1', 'B2', 'C1', 'C2']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/4920/
5,32nd International Summer Language School,German Language Course (including Literature and Culture Studies),Osnabrück University of Applied Sciences,Osnabrück,['2024-08-19'],['2024-09-16'],[890],['Not Available'],['German'],"['A1', 'A2', 'B1', 'B2']",,,The date of the course has been set,,none,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/9019/
56,51st Trier International Summer School: Germany and its Neighbouring Countries 2024,German Language Course (including Literature and Culture Studies),Trier University,Trier,['2024-08-05'],['2024-08-30'],[770],['2024-07-15'],['German'],"['A1', 'A2', 'B1', 'B2', 'C1']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/8289/
5,6th International Winter Academy,German Language Course (including Literature and Culture Studies),Martin Luther University Halle-Wittenberg,Lutherstadt Wittenberg,['2024-02-04'],['2024-02-29'],[720],['2024-01-05'],['German'],"['A1', 'A2', 'B1', 'B2', 'C1']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/6324/
5,75th International Summer Course: Germany Today,German Language Course (including Literature and Culture Studies),Kiel University,Kiel,['2024-07-15'],['2024-08-09'],[1350],['2024-05-15'],['German'],"['B1', 'B2', 'C1', 'C2']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/4889/
6,7th Solar Winter School,Engineering in general,SRH Berlin University of Applied Sciences,Berlin,['2024-02-26'],['2024-03-10'],[950],['Not Available'],['English'],,"['B2', 'C1']",,The date of the course has been set,,,False,,,,True,Partly online,,,,"['1', '3', '9', '10']",/deutschland/studienangebote/international-programmes/en/detail/5573/
3,a.r.t.e.s. Graduate School for the Humanities Cologne,Languages and Cultural Studies in general,University of Cologne,Köln,[],[],[],[],"['German', 'English']",,,Summer semester,,,none,False,,,"<p>All applicants for the structured doctoral programme must apply by the end of October for the following summer semester. The exact date is announced on our website.</p>

<p>For further information on our application procedure, please see <a href=""http://www.artes.uni-koeln.de"" target=""_blank"">http://www.artes.uni-koeln.de</a>.</p>",False,,,True,['Buddy programme | Cultural and linguistic preparation'],[],/deutschland/studienangebote/international-programmes/en/detail/4100/
3,Abbe School of Photonics – PhD/Doctoral Programme,"Physics, Astronomy",Friedrich Schiller University Jena,Jena,[],[],[],[],"['English', 'German']",,,Any time,,,none,False,,,"<p>Check for current openings on our website <a href=""https://www.asp.uni-jena.de/open_positions"">www.asp.uni-jena.de/open_positions</a>&nbsp;and apply within the stated deadlines. We also accept unsolicited applications at any time.&nbsp;</p>",False,,,True,['Tutors | Visa matters | Specialist counselling | Cultural and linguistic preparation | Buddy programme | Accompanying programme'],[],/deutschland/studienangebote/international-programmes/en/detail/4341/
