courseName,location,fees,url,entry_year,study_mode,duration,course_code,start_date
Adult Nursing BSc (Hons),Coventry University (Coventry),"£19,850 per year",https://www.coventry.ac.uk/course-structure/ug/hls-nhs/adult-nursing-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time                    </p>",B740,September 2023
Accountancy BSc (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/accountancy-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years full-time (work placement)                    </p>",,September 2023
Accounting and Finance BSc (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/accounting-and-finance-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Accounting and Finance for International Business BSc (Hons) top-up,Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/top-up/accounting-and-finance-for-international-business-bsc-top-up/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",NN43,September 2023
Accounting and Finance for International Business BA (Hons) top-up,Coventry University London (City of London),"£16,800",https://www.coventry.ac.uk/london/course-structure/ug/accounting-and-finance-for-international-business-top-up-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time (UK only)                    </p>",N900,September 2023
Advertising and Digital Marketing BA (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/advertising-and-digital-marketing-ba/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Applied Biosciences BSc (Hons),"CU London (Dagenham, London)","£18,300 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/science/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years sandwich<br>3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",CF11 / 112C / 11FC,September 2023
Applied Biosciences Foundation Year,"CU London (Dagenham, London)","£18,300 per year",https://www.coventry.ac.uk/cul/course-structure/foundation/science/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",C910,September 2023
Applied Biosciences with Foundation Year BSc (Hons),CU Coventry (Coventry),"£18,300",https://www.coventry.ac.uk/cuc/course-structure/integrated-foundation/science/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years full-time<br>5 years sandwich                    </p>",,September 2023
Applied Biosciences BSc (Hons),CU Coventry (Coventry),"£18,300 per year",https://www.coventry.ac.uk/cuc/course-structure/hnc-hnd-degree/science/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND<br>1 year - HNC<br>Flexible part-time                    </p>",CF11 / 112C / 11FC,September 2023
Applied Biosciences Foundation Year,CU Coventry (Coventry),"£18,300 per year",https://www.coventry.ac.uk/cuc/course-structure/foundation/science/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",FC31,September 2023
Applied Psychology BSc (Hons),CU Scarborough (Scarborough),"£16,800 per year",https://www.coventry.ac.uk/cus/course-structure/hnc-hnd-degree/applied-psychology/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",C810 / C811 / C812,September 2023
Applied Psychology BSc (Hons),Coventry University Wrocław (Poland),"46,000 zł (non-EU) per year",https://www.coventry.ac.uk/wroclaw/course-structure/hnc-hnd-degree/applied-psychology-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree                    </p>",CUPU041,September 2023
Applied Psychology BSc (Hons),"CU London (Dagenham, London)","£16,800 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/applied-psychology/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",C810 / C811 / C812,September 2023
