brand,title,stock_status,product_price,cash_discount_price,emi_price,processor,webcam,warranty,url
Lenovo,LENOVO IDEAPAD 3 14ABA7 RYZEN 5 5625U 8GB RAM 256GB SSD 14 INCH FHD LAPTOP,In Stock,65000,65000,68380,"AMD Ryzen™ 5 5625U (6Core / 12Threads, 2.3 / 4.3GHz, 3MB L2 / 16MB L3)
",HD WEBCAM,02 years Limited Warranty (Terms & Conditions Apply As Per Lenovo),https://www.techlandbd.com/lenovo-ideapad-3-14aba7-ryzen-5-laptop
Lenovo,LENOVO IDEAPAD 3 14ABA7 RYZEN 5 5625U 8GB RAM 512GB SSD 14 INCH FHD LAPTOP,In Stock,68500,64490,67843,"AMD Ryzen™ 5 5625U (6Core / 12Threads, 2.3 / 4.3GHz, 3MB L2 / 16MB L3)
",HD WEBCAM,02 years Limited Warranty (Terms & Conditions Apply As Per Lenovo),https://www.techlandbd.com/lenovo-ideapad-3-14aba7-ryzen-5-laptop-bd
Lenovo,LENOVO IDEAPAD slim 3i 15IIL05 15.6 INCH FULL HD DISPLAY INTEL I3 10TH GEN 4GB RAM 256GB SSD LAPTOP (3 years Warranty),In Stock,47500,47000,49444,"Intel Core i3-1005G1 (2C / 4T, 1.2 / 3.4GHz, 4MB)
","720p with Privacy Shutter
",3 years,https://www.techlandbd.com/lenovo-ideapad-3-15iil05-laptop
Lenovo,Lenovo IdeaPad Slim 3i 14 Inch FHD Display Core i5 12th Gen 8GB RAM 512GB SSD Laptop,In Stock,80500,78500,82582,"Intel Core i5-1235U, 10C (2P + 8E) / 12T, P-core 1.3 / 4.4GHz, E-core 0.9 / 3.3GHz, 12MB
","HD 720p with Privacy Shutter
","3 Years (Battery + Adapter 1 Year)
",https://www.techlandbd.com/lenovo-ideapad-slim-3i-12th-gen-i5-laptop-bd
Lenovo,Lenovo IdeaPad Slim 3i 15.6 inch Full HD Display Core i5 11th Gen 8GB RAM 512GB SSD Laptop MX350 2GB Graphics (3 YEARS WARRANTY),In Stock,78500,78500,82582,"Intel Core i5-1135G7 Processor (8M Cache, 2.40 GHz up to 4.20 GHz)
","720p with Privacy Shutter
",3 year,https://www.techlandbd.com/lenovo-ideapad-slim-3i-core-i5-8gb-ram-laptop
Apple,Apple Macbook Pro M2 (MNEH3) 13.3 inch Retina display M2 chip 8GB RAM 256GB SSD Laptop (Space Grey),In Stock,162000,162000,170424,Apple M2 chip ,720p FaceTime HD camera ,"01 year International Limited Warranty
",https://www.techlandbd.com/apple-macbook-pro-m2-256gb-ssd-laptop-space-grey
Lenovo,LENOVO IDEAPAD FLEX 5 14ALC05 14 INCH FULL HD DISPLAY RYZEN 5 5500U 8GB RAM 512GB SSD 2 IN 1 TOUCH LAPTOP (3 years Warranty),In Stock,88000,88000,92576,"AMD Ryzen 5 5500U (6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3)
","720p with Privacy Shutter
",3 Years,https://www.techlandbd.com/lenovo-ideapad-flex-5-fhd-laptop
Asus,Asus ROG STRIX G15 G513IE 15.6 inch Full HD 144Hz Display Ryzen 7 4800H 8GB RAM 512GB SSD Gaming Laptop with RTX 3050 Ti 4GB Graphics (Eclipse Grey),In Stock,144000,144000,151488,"AMD Ryzen 7 4800H Processor 2.9 GHz (8M Cache, up to 4.2 GHz)
",FHD 1080P 60FPS external camera,"2 years International Limited Warranty (Terms & condition Apply As Per Asus)
",https://www.techlandbd.com/asus-rog-strix-g15-g513ie-ryzen-7-gaming-laptop
Lenovo,Lenovo IdeaPad 1 15ADA7 15.6 inch FHD Display Ryzen 3 3250U 8GB RAM 512GB SSD Laptop (3 years Warranty),In Stock,55000,51500,54178,"AMD Ryzen 3 3250U Processor (2 Cores / 4 Threads, 2.60 GHz, up to 3.50 GHz with Max Boost, 1 MB Cache L2 / 4 MB Cache L3)","HD 720p with Privacy Shutter
",3 years International Limited Warranty (Terms & condition Apply As Per Lenovo),https://www.techlandbd.com/lenovo-ideapad-1-15ada7-laptop
HP,HP 15s-fq5886TU 15.6 INCH FHD DISPLAY INTEL CORE I5 12TH GEN 8GB RAM 512GB LAPTOP,In Stock,72000,72000,75744,"Intel Core i5-1235U Processor (12M Cache, 3.30 GHz, up to 4.40 GHz)
","HP True Vision 720p HD camera with integrated dual array digital microphones
","2 years International Limited Warranty (Terms & condition Apply As Per HP)
",https://www.techlandbd.com/hp-15s-fq5886tu-i5-12th-gen-laptop
Lenovo,Lenovo IdeaPad 3 14 inch Full HD Display Ryzen 7 5700U 8GB RAM 512GB SSD Laptop (3 years Warranty),In Stock,75500,75500,79426,"AMD Ryzen 7 5700U (8C / 16T, 1.8 GHz up to 4.3GHz, 4MB L2 / 8MB L3)","720 HD webcam with privacy shutter
",3 Year International (1 year for Battery and Adapter),https://www.techlandbd.com/lenovo-ideapad-3-ryzen-7-5700u-laptop
HP,HP PROBOOK 440 G8 14-INCH FHD IPS DISPLAY CORE I5 11TH GEN 8GB RAM 512GB SSD LAPTOP,In Stock,87000,87000,91524,"Intel Core i5-1135G7 Processor (8M Cache, 2.40 GHz up to 4.20 GHz)
",720p HD camera,03 years International Limited Warranty (Terms & condition Apply As Per HP),https://www.techlandbd.com/hp-probook-440-g8-i5-11th-gen-laptop
