title,href,processor_Type,RAM,Proc_Generation,Display
,,,,,
Acer Extensa 15 EX215-54-37AH Intel Core i3 1115G4 15.6 Inch FHD Display Charcoal Black Laptop #NX.EGJSI.001,https://www.ryanscomputers.com/acer-extensa-15-ex215-54-37ah-intel-core-i3-1115g4-15.6-inch-fhd-display-charcoal-black-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Dell Vostro 14 3400 11th Gen Intel Core i3 1115G4 4GB RAM 14 Inch HD Display Black Laptop,https://www.ryanscomputers.com/dell-vostro-14-3400-11th-gen-intel-core-i3-1115g4-4gb-ram-14-inch-hd-display-black-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 14
HP 15s-fq3234TU Intel CDC N4500 15.6 Inch FHD Display Silver Laptop #5B356PA-2Y,https://www.ryanscomputers.com/hp-15s-fq3234tu-intel-cdc-n4500-15.6-inch-fhd-display-silver-laptop,Processor Type. - Intel Celeron,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 15.6
Acer Extensa 15 EX215-54-34SE Intel Core i3 1115G4 15.6 Inch FHD Charcoal Black Laptop #NX.EGJSI.00B,https://www.ryanscomputers.com/acer-extensa-15-ex215-54-34se-intel-core-i3-1115g4-15.6-inch-fhd-charcoal-black-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Lenovo IdeaPad Slim 3i 15IIL Intel Core i3 1005G1 4GB Ram 15.6 Inch FHD Display Platinum Grey Laptop #81WE01P2IN-3Y,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15iil-intel-core-i3-1005g1-4gb-ram-15.6-inch-fhd-display-platinum-grey-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 10th (Intel),Display Size (Inch) - 15.6
HP 15s-eq1578AU AMD Athlon Silver 3050U 15.6 Inch FHD Display Silver Laptop #7K1K3PA-2Y,https://www.ryanscomputers.com/hp-15s-eq1578au-amd-athlon-silver-3050u-15.6-inch-fhd-display-silver-laptop,Processor Type. - AMD Athlon,RAM - 8GB,Generation - Not Applicable,Display Size (Inch) - 15.6
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 15.6 Inch FHD Display, Win 11, Cloud Grey Laptop",https://www.ryanscomputers.com/lenovo-ideapad-1-15ada7-amd-ryzen-3-3250u-15.6-inch-fhd-display-cloud-grey-laptop,Processor Type. - Ryzen 3,RAM - 8GB,Generation - Not Applicable,Display Size (Inch) - 15.6
Dell Inspiron 15 3515 AMD Ryzen 3 3250U 15.6 Inch FHD Display Silver Laptop,https://www.ryanscomputers.com/dell-inspiron-15-3515-amd-ryzen-3-3250u-15.6-inch-fhd-display-silver-laptop,Processor Type. - Ryzen 3,RAM - 8GB,Generation - Not Applicable,Display Size (Inch) - 15.6
Dell Inspiron 15 3511 Intel Core i3 1115G4 256GB SSD 15.6 Inch FHD Display Carbon Black Laptop,https://www.ryanscomputers.com/dell-inspiron-15-3511-intel-core-i3-1115g4-256gb-ssd-15.6-inch-fhd-display-carbon-black-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Huawei MateBook B3-520 Intel Core i3 1115G4 15.6 Inch FHD Display Space Gray Laptop #BDZ-WDI9A,https://www.ryanscomputers.com/huawei-matebook-b3-520-intel-core-i3-1115g4-15.6-inch-fhd-display-space-gray-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
HP 15s-eq2171AU AMD Ryzen 3 5300U 15.6 Inch FHD Display Spruce Blue Laptop #681P6PA-2Y,https://www.ryanscomputers.com/hp-15s-eq2171au-15.6-inch-spruce-blue-laptop,Processor Type. - Ryzen 3,RAM - 8GB,Generation - Not Applicable,Display Size (Inch) - 15.6
HP 15s-fq5486TU Intel Core i3 1215U 15.6 Inch FHD Display Black Laptop #681P8PA-2Y,https://www.ryanscomputers.com/hp-15s-fq5486tu-intel-core-i3-1215u-15.6-inch-fhd-display-black-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 12th (Intel),Display Size (Inch) - 15.6
Acer Extensa 15 EX215-54-596B Intel Core i5 1135G7 15.6 Inch FHD Display Charcoal Black Laptop #NX.EGJSI.002,https://www.ryanscomputers.com/acer-extensa-15-ex215-54-596b-intel-core-i5-1135g7-15.6-inch-fhd-display-charcoal-black-laptop,Processor Type. - Core i5,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Acer Extensa 15 EX215-54-57SB Intel Core i5 1135G7 15.6 Inch FHD Charcoal Black Laptop #NX.EGJSI.00D,https://www.ryanscomputers.com/acer-extensa-15-ex215-54-57sb-intel-core-i5-1135g7-15.6-inch-fhd-charcoal-black-laptop,Processor Type. - Core i5,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
HP 15s-fq5786TU Intel Core i3 1215U 15.6 Inch FHD Display Silver Laptop #681P9PA-2Y,https://www.ryanscomputers.com/hp-15s-fq5786tu-intel-core-i3-1215u15.6-inch-fhd-display-silver-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 12th (Intel),Display Size (Inch) - 15.6
