titles,availability,originalPrices,discounts,discountPrices
Duranta Alloy 27-Speed Venom R27.5 Red,In stock,"23,050.00","Save
15%","19,592.00"
Duranta Alloy 30-Spd Venom R27.5 Red,In stock,"23,690.00","Save
15%","20,136.00"
Duranta Steel 24-Spd Venom R27.5 Green  847695,In stock,"17,060.00","Save
10%","15,354.00"
"Duranta Bicycle Steel 1-Speed Supreme 26""  Green",In stock,"12,000.00","Save
10%","10,800.00"
"Duranta CB Potter Plus 20"" Red",In stock,"10,500.00","Save
10%","9,450.00"
"26"" Elswick Elegence Ladies Bike 6 Speed",In stock,"14,390.00","Save
10%","12,951.00"
"26""x18"" Boss  Venom DS Ladies 21 Speed",In stock,"13,050.00","Save
10%","11,745.00"
Duranta Steel 1-Spd Potter Plus M/W 20 Blue 847794,In stock,"10,990.00","Save
10%","9,891.00"
"Duranta Steel 1-Speed Mascular 24"" Red, 847499	",In stock,"11,460.00","Save
10%","10,314.00"
Duranta Steel 1-Spd Gravity Plus 26 Blue,In stock,"11,270.00","Save
10%","10,143.00"
"26""X19"" Falcon Odyssey Mens 18 Speed Bike",In stock,"12,805.00","Save
10%","11,525.00"
"26""x17"" Falcon Orchid Womens  18 Speed",In stock,"12,805.00","Save
10%","11,525.00"
"Duranta Steel 18-Spd Â Signature 26"" Red with yellow",In stock,"11,525.00","Save
10%","10,373.00"
Duranta Steel 18-Spd Signature 26 Red with Yellow,In stock,"10,885.00","Save
10%","9,797.00"
"20""  Banksy BMX Bike-Single Speed",In stock,"13,415.00","Save
10%","12,075.00"
"26"" Elswick Deluxe Ladies Bike 6 Speed",In stock,"14,025.00","Save
10%","12,625.00"
Duranta Steel 1-Speed Muscular Premier 24 Red,On backorder,"15,540.00","Save
10%","9,000.00"
"Duranta Allan Inova 26"" (Multi speed ) 804308",In stock,"13,365.00","Save
10%","16,905.00"
Duranta Steel 1-Spd City Bike 26 Black,In stock,"9,735.00","Save
10%","8,965.00"
Duranta CB City Bike 26 Inch Blue,In stock,"8,965.00",Not Available,"8,965.00"
"Duranta Knight Black Gents Bicycle 26""",In stock,"10,375.00",Not Available,"10,375.00"
Duranta Steel Venom-Red(Multi speed) 847694,In stock,"17,500.00",Not Available,"17,500.00"
DURANTA STEEL 21-SPD VENOM -21R27.5 YELLOW,In stock,"15,540.00",Not Available,"15,540.00"
"Duranta Avenger Premier-20"" 847514",In stock,"7,910.00",Not Available,"7,910.00"
"Duranta Optimus 26"" (Single speed) 847451",In stock,"9,920.00",Not Available,"9,920.00"
Duranta Jackson Tricycle 847261,In stock,"1,950.00",Not Available,"1,950.00"
"Duranta Steel 1-Spd Royal 1-Bar 28""(deep green) 847157",In stock,"9,605.00",Not Available,"9,605.00"
Duranta BIXO Steel 1-Spd 20 MJB-03 Pink (PC),In stock,"7,910.00",Not Available,"7,910.00"
Duranta Extreme 16 Inch Bicycle,In stock,"7,570.00",Not Available,"7,570.00"
Duranta Steel 1-Spd Synergy 24 Red,In stock,"8,800.00",Not Available,"8,800.00"
"Duranta Supreme 26"" Blue Gents",In stock,"13,365.00",Not Available,"13,365.00"
"Duranta Avenger 24"" Gents Red",In stock,"9,500.00",Not Available,"9,500.00"
Duranta Steel 1-Spd Rider 26 Red,In stock,"9,990.00",Not Available,"9,990.00"
"Duranta CB Avenger 24"" Gents Blue",In stock,"9,500.00",Not Available,"9,500.00"
"Duranta Muscular 24"" (Multi speed ) 804678",In stock,"12,275.00",Not Available,"12,275.00"
"Duranta CB Potter Plus 20"" Red",In stock,"9,755.00",Not Available,"9,755.00"
Duranta Steel 1-Spd Rider 24 Blue,In stock,"9,220.00",Not Available,"9,220.00"
Duranta Steel 24-Speed Venom R27.5 Blue 847693,In stock,"17,060.00",Not Available,"17,060.00"
Duranta Steel 1-Spd Super Deluxe 28 Deep Green 847045,In stock,"9,605.00",Not Available,"9,605.00"
Duranta Joovy Tricycle Mixed 847566,In stock,"3,415.00",Not Available,"3,415.00"
"Duranta Steel 1-Speed Avenger Premier 26"" Red",In stock,"11,525.00",Not Available,"11,525.00"
Duranta Bike Trainer 804818,In stock,"6,708.00",Not Available,"6,708.00"
Duranta Adinky Rfl-002 Pink R 847046,In stock,"2,927.00",Not Available,"2,927.00"
Duranta Baby Swing Car Music Green 847420,In stock,"2,075.00",Not Available,"2,075.00"
Duranta Copper Baby Try Cycle R 847047,In stock,"2,196.00",Not Available,"2,196.00"
Duranta Oliver Baby Try Cycle 847049,In stock,"1,830.00",Not Available,"1,830.00"
Duranta Agile (RFL-003) Blue/Pink 804492 804492,In stock,"2,440.00",Not Available,"2,440.00"
Duranta Micycle Ladies 26 Inch Bicycle 847255,In stock,"9,500.00",Not Available,"9,500.00"
"Duranta Avenger Premier 16 "" Bicycle",In stock,"7,230.00",Not Available,"7,230.00"
Duranta Bixo 16.04 16 Inch Bicycle 847551,In stock,"7,300.00",Not Available,"7,300.00"
Duranta Switch Baby Tricycle Blue 804491,In stock,"2,440.00",Not Available,"2,440.00"
"Duranta BIXO 14"" Bicycle - Pink 847571",In stock,"6,550.00",Not Available,"6,550.00"
Duranta Steel 1-Spd Angellena Ladies 24 Pink Without Basket,In stock,"10,200.00",Not Available,"10,200.00"
Duranta Steel 1-Spd Angellena Ladies Cycle Basket,In stock,250.00,Not Available,250.00
